#,component,variable,function_name,weight_group,weight,Implemented,Implementation Notes,Test Coverage,geojson_property,frontend_field,data_type,unit,min,max,nullable,validation_rules,description,data_source,source_url,api_endpoint,api_params,dependencies,join_keys,transform_steps,calculation_formula,derived_or_direct,exists_in_code,used_in_validation,notes,quality_tiers,quality_field,provenance_field,ui_user_mode,ui_debug_mode,geography_level,join_grain,fallback_chain,estimation_method,proxy_method,cache_primary,cache_fallback,code_locations
1,Hazard,hazard_wildfire,compute_hazard_wildfire,hazard_score,0.2713,Yes,"Real data if WHP zonal stats CSV exists, fallback otherwise",Unit tested,hazard_wildfire,hazard,float,0-1,0,1,No,0<=x<=1,Wildfire probability,USFS WHP,https://www.fs.usda.gov/rds/archive/products/RDS-2015-0047,,,WHP raster,block_id,clip raster to blocks; zonal stats mean,mean(WHP_pixels_in_block),Direct,Yes,Yes,,REAL|PROXY|MISSING,<variable>_source,<variable>_provenance,show value; star if PROXY; — if MISSING,append [src:whp] or [px:osm] or [missing] when debug=1,block-group polygon (block_id row),block_id,B: real_cache whp/wildfire CSV -> PROXY from vegetation+forest_distance -> MISSING,,"0.5*vegetation + 0.5*forest_proximity (OSM)",data/real_cache/counties/{county_fips}/whp/wildfire/data.csv,data/real_cache legacy + proxy path,src/utils/real_data.py:compute_hazard_wildfire_real; main.js:_formatValue/_debugTag
2,Hazard,hazard_vegetation,compute_hazard_vegetation,hazard_score,0.3044,Yes,"Proxy data when nlcd/vegetation CSV exists (OSM-based generator); else fallback",Unit tested,hazard_vegetation,hazard,float,0-1,0,1,No,0<=x<=1,Fuel density (proxy),OSM proxy (NLCD stand-in),https://www.openstreetmap.org/,,,"OSM features; generated CSV",block_id,intersect polygons; area ratio,forest_area_ratio_in_block,Derived,Yes,No,,PROXY|MISSING,<variable>_source,<variable>_provenance,show value*; — if MISSING,append [px:osm] or [missing] when debug=1,block-group polygon (block_id row),block_id,B: real_cache nlcd/vegetation CSV -> MISSING,,"OSM forest/woodland intersection ratio",data/real_cache/counties/{county_fips}/nlcd/vegetation/data.csv,legacy data/real/nlcd_vegetation.csv,src/utils/real_data.py:compute_hazard_vegetation_real; scripts/process_nlcd_vegetation.py; main.js:_formatValue/_debugTag
3,Hazard,hazard_forest_distance,compute_hazard_forest_distance,hazard_score,0.4243,Yes,Proxy distance-to-forest logic implemented (OSM forest distance CSV with fallback),Unit tested,hazard_forest_distance,hazard,float,0-1,0,1,No,0<=x<=1,Forest proximity hazard (proxy),OSM proxy (NLCD stand-in),https://www.openstreetmap.org/,,,"OSM features; generated CSV",block_id,nearest distance; invert,1/(1+distance_km),Derived,Yes,No,,PROXY|MISSING,<variable>_source,<variable>_provenance,show value*; — if MISSING,append [px:osm] or [missing] when debug=1,block-group polygon (block_id row),block_id,B: real_cache nlcd/forest_distance CSV -> MISSING,,"distance to nearest OSM forest/woodland polygon; invert",data/real_cache/counties/{county_fips}/nlcd/forest_distance/data.csv,legacy data/real/nlcd_forest_distance.csv,src/utils/real_data.py:compute_hazard_forest_distance_real; scripts/process_nlcd_forest_distance.py; main.js:_formatValue/_debugTag
4,Hazard,hazard_score,compute_hazard_score,,,Yes,"Weighted sum, configurable weights",Unit tested,hazard_score,hazard,float,0-1,0,1,No,0<=x<=1,Combined hazard,Derived,,,,"hazard_wildfire,hazard_vegetation,hazard_forest_distance",block_id,normalize; weighted sum,w1*hw + w2*hv + w3*hfd,Derived,Yes,Yes,weights configurable; source weights stored in input rows,,DERIVED (from components),n/a,n/a,show value (no star rule applied),append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on component availability,computed from components,computed from components,,src/features/build_features.py:weighted_sum; src/models/risk_model.py
5,Exposure,exposure_population,compute_exposure_population,exposure_score,0.333333,Yes,Real data from Census API or CSV,Unit tested,exposure_population,exposure,int,persons,0,inf,No,x>=0,Population,Census PL,https://api.census.gov/data/2020/dec/pl,/data/2020/dec/pl,get=P1_001N&for=block:*,Census API,"state,county,tract,block",fetch; cast int,P1_001N,Direct,Yes,Yes,,REAL|MISSING,<variable>_source,<variable>_provenance,show value; — if MISSING,append [src:census] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: real_cache census_pl_2020/population -> MISSING,,,"data/real_cache/counties/{county_fips}/census_pl_2020/population/data.csv",legacy data/real/census_population.csv,src/utils/real_data.py:compute_exposure_population_real; main.js:_formatValue/_debugTag
6,Exposure,exposure_housing,compute_exposure_housing,exposure_score,0.333333,Yes,Real data from Census API or CSV,Unit tested,exposure_housing,exposure,int,units,0,inf,No,x>=0,Housing units,Census H1,https://api.census.gov/data/2020/dec/pl,/data/2020/dec/pl,get=H1_001N&for=block:*,Census API,"state,county,tract,block",fetch; cast int,H1_001N,Direct,Yes,Yes,,REAL|MISSING,<variable>_source,<variable>_provenance,show value; — if MISSING,append [src:census] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: real_cache census_pl_2020/housing -> MISSING,,,"data/real_cache/counties/{county_fips}/census_pl_2020/housing/data.csv",legacy data/real/census_housing.csv,src/utils/real_data.py:compute_exposure_housing_real; main.js:_formatValue/_debugTag
7,Exposure,exposure_building_value,compute_exposure_building_value,exposure_score,0.333333,Yes,"ACS B25077_001E median home value (BG) × Census H1 housing units (BG). Missing BG medians imputed with county mean to avoid collapsing EAL.",Unit tested,exposure_building_value,exposure,float,USD,0,inf,No,x>=0,Total residential building value proxy,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,get=B25077_001E&for=block%20group:*,requires exposure_housing,"state,county,tract,block group",map BG from GEOID; multiply; impute missing,exposure_housing * median_home_value_BG,Derived,Yes,Yes,shared_source:ACS; EAL uses this column,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:county-mean] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: ACS BG median; impute county mean if missing -> MISSING,county-mean imputation when BG median missing,,data/real_cache/counties/{county_fips}/acs_2021_5yr/median_home_value/data.csv,data/real_cache legacy + API,src/utils/real_data.py:compute_exposure_building_value_real; main.js:_formatValue/_debugTag
8,Exposure,exposure_score,compute_exposure_score,,,Yes,Weighted sum of normalized exposure features,Unit tested,exposure_score,exposure,float,0-1,0,1,No,0<=x<=1,Combined exposure,Derived,,,,"exposure_population,exposure_housing,exposure_building_value",block_id,normalize; weighted sum,w1*npop + w2*nhouse + w3*nvalue,Derived,Yes,Yes,source weights stored in input rows,,DERIVED (from components),n/a,n/a,show value (no star rule applied),append [src:misc] only if explicitly added later,block-group polygon (block_id row),block_id,depends on component availability,computed from components,computed from components,,src/features/build_features.py:weighted_sum
9,Vulnerability,vuln_poverty,compute_vuln_poverty,vulnerability_score,0.3903,Yes,"ACS poverty rate at BG when available; if ACS returns all-null BG estimates, use tract poverty_rate assigned to BG by tract GEOID.",Unit tested,vuln_poverty,vulnerability,float,0-1,0,1,No,0<=x<=1,Poverty rate,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,"get=B17001_002E,B17001_001E&for=block%20group:*",ACS poverty,"state,county,tract,block group",compute ratio; fallback to tract assignment,B17001_002E/B17001_001E,Derived,Yes,Yes,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:tract] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG poverty_rate -> tract poverty_rate cache/API -> MISSING,tract->BG assignment (by tract GEOID),,"data/real_cache/counties/{county_fips}/acs_2021_5yr/poverty/data.csv","data/real_cache/counties/{county_fips}/acs_2021_5yr/poverty_tract/data.csv",scripts/real_import.py:import_acs_poverty; src/utils/real_data.py:compute_vuln_poverty_real; main.js:_formatValue/_debugTag
10,Vulnerability,vuln_elderly,compute_vuln_elderly,vulnerability_score,0.2126,Yes,"ACS elderly ratio at block-group (keeps GEOID as string join key). Missing values filled with county mean.",Unit tested,vuln_elderly,vulnerability,float,0-1,0,1,No,0<=x<=1,Elderly ratio,ACS,https://api.census.gov/data/2021/acs/acs5,/data/2021/acs/acs5,get=B01001_020E..B01001_025E&for=block%20group:*,ACS age,"state,county,tract,block group",sum 65+ / total; fill county mean,elderly_sum/B01001_001E,Derived,Yes,No,shared_source:ACS,REAL|ESTIMATED|MISSING,<variable>_source,<variable>_provenance,show value; star if ESTIMATED; — if MISSING,append [src:acs] or [est:county-mean] or [missing] when debug=1,block-group polygon (GEOID row),GEOID,B: BG elderly ratio -> county-mean fill -> MISSING,county-mean fill for missing BG ratios,,"data/real_cache/counties/{county_fips}/acs_2021_5yr/elderly/data.csv",legacy/local CSV fallback,src/utils/real_data.py:compute_vuln_elderly_real
